,Keyword,Time,count
234,funnyvideos,2018-10-2 2:00,1
235,Medicina,2018-10-2 5:00,2
236,FearTheBeer,2018-10-1 13:00,1
237,1oct,2018-10-1 16:00,1
238,insulin4all,2018-10-2 2:00,1
239,japan,2018-10-1 18:00,1
240,OlderPeoplesDay,2018-10-1 15:00,1
241,⃞김석진,2018-10-1 12:00,1
242,AravindhaSamethaTrailer,2018-10-2 2:00,1
243,1u,2018-10-1 18:00,1
244,BadTemperment,2018-10-1 10:00,1
245,Jungkook,2018-10-2 0:00,1
246,IllegalAliens,2018-10-2 0:00,1
247,LEEDAEHWI,2018-10-2 2:00,1
248,زعيم_تويتر_فلورز_الاثنين,2018-10-1 14:00,1
249,NOvsNYG,2018-10-2 3:00,1
250,October1st,2018-10-1 20:00,1
251,Splatoon2,2018-10-1 9:00,1
252,iKON,2018-10-1 9:00,3
253,Win,2018-10-1 22:00,1
254,listenlive,2018-10-1 7:00,1
255,Follow,2018-10-1 22:00,1
256,Aquarius,2018-10-1 21:00,1
257,ReligiousFreedom,2018-10-2 4:00,1
258,straightchillin,2018-10-1 21:00,1
259,Read,2018-10-1 12:00,1
260,TuesdayMotivation,2018-10-2 5:00,1
261,CardiB,2018-10-2 0:00,1
262,septemberbirthdays,2018-10-1 18:00,1
263,FIFA19,2018-10-1 17:00,1
264,MAYWARDxPLDTHome,2018-10-1 10:00,1
265,Clop,2018-10-1 18:00,1
266,Infographic,2018-10-1 9:00,1
267,SpyroReignitedTrilogy,2018-10-1 22:00,1
268,HornsUpBoston,2018-10-2 1:00,1
269,Fuck12,2018-10-1 9:00,1
270,MAAS,2018-10-1 13:00,1
271,digicities,2018-10-1 9:00,1
272,Inktober2018,2018-10-1 16:00,1
273,Ajith,2018-10-2 4:00,1
274,LatinPop,2018-10-2 3:00,2
275,EMAs,2018-10-1 19:00,1
276,livestreaming,2018-10-1 23:00,1
277,MondayMotivation,2018-10-1 10:00,2
278,SuperJunior,2018-10-1 7:00,1
279,TomHiddleston,2018-10-1 15:00,1
280,ROK,2018-10-1 14:00,1
281,EXOCOMINGSOON,2018-10-1 17:00,1
282,ChainChompette,2018-10-1 20:00,1
283,PushAwardsMayWards,2018-10-2 4:00,1
284,wangjackson,2018-10-1 12:00,1
285,Hypothalamus,2018-10-2 2:00,1
286,pixelart,2018-10-1 16:00,1
287,wastedcrushes,2018-10-2 0:00,1
288,Birdland,2018-10-2 1:00,1
289,GOING_SVT,2018-10-1 22:00,1
290,serverless,2018-10-1 16:00,1
291,방탄소년단,2018-10-1 10:00,1
292,openbanking,2018-10-1 16:00,1
293,InternationalCoffeeDay,2018-10-1 19:00,1
294,정한,2018-10-1 15:00,1
295,StreamerNetwork,2018-10-1 21:00,1
296,LUgolf,2018-10-1 16:00,1
297,정국,2018-10-1 14:00,2
298,JINYOUNG,2018-10-1 13:00,1
299,PRESENTYOU,2018-10-1 13:00,1
300,Chennai,2018-10-1 7:00,1
301,IN,2018-10-2 1:00,1
302,bridestory,2018-10-1 6:00,1
303,Unity4J,2018-10-1 21:00,1
304,Libra,2018-10-1 21:00,1
305,25DaysToGo,2018-10-1 22:00,1
306,MusicBot,2018-10-2 3:00,1
307,THEBOYZ,2018-10-1 14:00,1
308,Cryptocurrency,2018-10-1 17:00,1
309,TheSong,2018-10-1 12:00,1
310,WelcomeGOT7toThailand,2018-10-1 15:00,1
311,MGWV,2018-10-1 15:00,1
312,Jadine,2018-10-1 11:00,1
313,ALDUBFever4ever,2018-10-1 10:00,6
314,TheGroup,2018-10-1 11:00,2
315,태태,2018-10-1 8:00,1
316,ISIS,2018-10-2 0:00,1
317,Munday,2018-10-2 4:00,1
318,PS4live,2018-10-2 3:00,1
319,TheDramaMovieStar,2018-10-1 21:00,1
320,PresentYou,2018-10-1 18:00,1
321,브이에이브이,2018-10-1 20:00,1
322,KavanaughConfirmation,2018-10-1 22:00,1
323,nuest_w,2018-10-1 10:00,1
324,BDSquad,2018-10-1 20:00,1
325,btsfanart,2018-10-1 13:00,1
326,Ethiopia,2018-10-1 6:00,1
327,Medicina,2018-10-1 13:00,2
328,google,2018-10-2 1:00,1
329,SOBERoctobert,2018-10-1 14:00,1
330,アマゾン,2018-10-1 17:00,1
331,현재,2018-10-1 14:00,1
332,lethalwhite,2018-10-1 14:00,1
333,k9hour,2018-10-1 19:00,1
334,세븐틴,2018-10-1 9:00,1
335,Job,2018-10-1 20:00,2
336,Spooky,2018-10-1 21:00,1
337,NewMix,2018-10-1 14:00,1
338,TamilNadu,2018-10-2 4:00,1
339,Coinbates,2018-10-2 4:00,1
340,np,2018-10-1 19:00,1
341,Hookup,2018-10-1 19:00,1
342,ForexExpert,2018-10-1 7:00,1
343,รักนะครับ,2018-10-2 5:00,1
344,RecoverWE,2018-10-1 13:00,1
345,bluelinefamily,2018-10-1 12:00,1
346,Sarkar,2018-10-2 1:00,1
347,Bontehuwel,2018-10-1 21:00,1
348,민규,2018-10-1 9:00,1
349,கீ,2018-10-1 10:00,1
350,TheMusicVideo,2018-10-2 5:00,2
351,IDOL,2018-10-1 18:00,2
352,audiojungle,2018-10-1 12:00,1
353,iwontbewatching,2018-10-1 6:00,1
354,TAKITAKI,2018-10-1 6:00,1
355,Australia,2018-10-2 4:00,1
356,TheSong,2018-10-1 10:00,1
357,prt,2018-10-1 12:00,1
358,SUGAR,2018-10-2 2:00,1
359,say,2018-10-1 23:00,1
360,isolation,2018-10-1 14:00,1
361,weareoneEXO,2018-10-1 20:00,2
362,InternationalCoffeeDay,2018-10-1 9:00,1
363,Autumn,2018-10-1 6:00,1
364,Anitta,2018-10-1 12:00,2
365,sequencing,2018-10-1 11:00,1
366,roval,2018-10-1 18:00,1
367,KatyCats,2018-10-1 19:00,1
368,Politics,2018-10-1 15:00,1
369,art,2018-10-2 2:00,1
370,iKON,2018-10-2 5:00,1
371,BTSARMY,2018-10-1 6:00,1
372,BrunoMars,2018-10-2 1:00,1
373,DSCWoA2018,2018-10-1 18:00,1
374,Creativity,2018-10-1 14:00,1
375,InsecureHBO,2018-10-1 13:00,2
376,JisooRoséxKissMe,2018-10-1 21:00,1
377,Queen,2018-10-1 10:00,1
378,Chaiiwala,2018-10-1 19:00,1
379,JacksonWang,2018-10-1 11:00,1
380,NationalBlackDogDay,2018-10-1 19:00,2
381,베리베리,2018-10-1 22:00,1
382,TheMusicVideo,2018-10-1 15:00,1
383,Giants,2018-10-1 15:00,1
384,KeepTexasRed,2018-10-1 15:00,1
